Pronouns,Charity,Job
she/her/hers,90,"a job I love that makes $100,000"
he/him/his,0,"a job I love that makes $100,000"
she/her/hers,85,"a job I love that makes $100,000"
he/him/his,50,"a job I hate that makes $500,000"
she/her/hers,100,"a job I hate that makes $500,000"
she/her/hers,100,"a job I love that makes $100,000"
she/her/hers,100,"a job I love that makes $100,000"
he/him/his,1,"a job I love that makes $100,000"
she/her/hers,100,"a job I love that makes $100,000"
she/her/hers,90,"a job I hate that makes $500,000"
she/her/hers,20,"a job I hate that makes $500,000"
he/him/his,75,"a job I hate that makes $500,000"
she/her/hers,100,"a job I love that makes $100,000"
she/her/hers,100,"a job I love that makes $100,000"
he/him/his,0,"a job I love that makes $100,000"
she/her/hers,100,"a job I love that makes $100,000"
she/her/hers,0,"a job I love that makes $100,000"
she/her/hers,100,"a job I love that makes $100,000"
she/her/hers,100,"a job I love that makes $100,000"
she/her/hers,70,"a job I love that makes $100,000"
she/her/hers,85,"a job I love that makes $100,000"
she/her/hers,100,"a job I love that makes $100,000"
he/him/his,100,"a job I love that makes $100,000"
she/her/hers,75,"a job I love that makes $100,000"
she/her/hers,50,"a job I hate that makes $500,000"
he/him/his,45,"a job I love that makes $100,000"
she/her/hers,75,"a job I love that makes $100,000"
she/her/hers,50,"a job I love that makes $100,000"
she/her/hers,90,"a job I love that makes $100,000"
he/him/his,10,"a job I love that makes $100,000"
he/him/his,0,"a job I love that makes $100,000"
she/her/hers,85,"a job I love that makes $100,000"
she/her/hers,100,"a job I love that makes $100,000"
he/him/his,45,"a job I love that makes $100,000"
she/her/hers,99,"a job I hate that makes $500,000"
she/her/hers,100,"a job I love that makes $100,000"
she/her/hers,40,"a job I love that makes $100,000"
she/her/hers,40,"a job I love that makes $100,000"
he/him/his,100,"a job I love that makes $100,000"
he/him/his,69,"a job I love that makes $100,000"
she/her/hers,50,"a job I hate that makes $500,000"
he/him/his,20,"a job I love that makes $100,000"