Pronouns,Confidence in programming,Confidence in viz,Lecture preference
she/her/hers,Moderately,Somewhat,No preference
he/him/his,Moderately,Somewhat,No preference
she/her/hers,Not at all,Somewhat,Attending live lectures remotely
he/him/his,Moderately,Somewhat,Attending live lectures remotely
she/her/hers,Moderately,Moderately,Watching recordings of lectures
she/her/hers,Not at all,Moderately,Watching recordings of lectures
she/her/hers,Moderately,Moderately,Attending live lectures remotely
she/her/hers,Moderately,Moderately,Attending live lectures remotely
she/her/hers,Somewhat,Moderately,Watching recordings of lectures
he/him/his,Moderately,Moderately,No preference
she/her/hers,Not at all,Somewhat,Attending live lectures remotely
she/her/hers,Not at all,Somewhat,Watching recordings of lectures
she/her/hers,Somewhat,Somewhat,Attending live lectures remotely
he/him/his,Not at all,Moderately,Watching recordings of lectures
she/her/hers,Moderately,Somewhat,Watching recordings of lectures
she/her/hers,Moderately,Moderately,Attending live lectures remotely
she/her/hers,Somewhat,Somewhat,Watching recordings of lectures
he/him/his,Somewhat,Somewhat,Attending live lectures remotely
she/her/hers,Not at all,Not at all,Attending live lectures remotely
she/her/hers,Very,Moderately,Attending live lectures remotely
he/him/his,Moderately,Somewhat,Attending live lectures remotely
he/him/his,Very,Moderately,Attending live lectures remotely
she/her/hers,Moderately,Moderately,Attending live lectures remotely
she/her/hers,Moderately,Moderately,No preference
she/her/hers,Not at all,Somewhat,Attending live lectures remotely
she/her/hers,Moderately,Somewhat,Attending live lectures remotely
he/him/his,Somewhat,Somewhat,Attending live lectures remotely
she/her/hers,Not at all,Somewhat,Attending live lectures remotely
she/her/hers,Somewhat,Moderately,Attending live lectures remotely
she/her/hers,Very,Very,Attending live lectures remotely
he/him/his,Not at all,Somewhat,Watching recordings of lectures
she/her/hers,Somewhat,Somewhat,Watching recordings of lectures
he/him/his,Somewhat,Moderately,No preference
she/her/hers,Not at all,Somewhat,Attending live lectures remotely
she/her/hers,Somewhat,Somewhat,No preference
she/her/hers,Somewhat,Somewhat,Attending live lectures remotely
he/him/his,Somewhat,Somewhat,Attending live lectures remotely
she/her/hers,Not at all,Not at all,No preference
he/him/his,Moderately,Moderately,Watching recordings of lectures
she/her/hers,Very,Moderately,Attending live lectures remotely
he/him/his,Very,Moderately,No preference
she/her/hers,Somewhat,Moderately,No preference