Pronouns,Prior experience,Confidence in programming,Confidence in viz,Lecture preference,Random1,Random2,Letter1,Letter2,Charity,Job
she/her/hers,I know a few basic concepts.,Somewhat,Moderately,Attending live lectures remotely,7,1,x,2,40,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Somewhat,Moderately,Watching recordings of lectures,3,73,o,23,75,"a job I love that makes $100,000"
she/her/hers,No experience at all.,Moderately,Somewhat,No preference,9,99,B,24,50,"a job I love that makes $100,000"
other: she/they/them,No experience at all.,Somewhat,Not at all,Attending live lectures remotely,6,58,m,14,60,"a job I love that makes $100,000"
she/her/hers,No experience at all.,Moderately,Moderately,Attending live lectures remotely,9,53,k,1,100,"a job I love that makes $100,000"
she/her/hers,No experience at all.,Not at all,Somewhat,Attending live lectures remotely,1,13,s,4,100,"a job I love that makes $100,000"
she/her/hers,No experience at all.,Somewhat,Somewhat,No preference,4,8,k,5,90,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Not at all,Moderately,Watching recordings of lectures,3,23,b,24,0,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Somewhat,Somewhat,Attending live lectures remotely,9,56,y,14,20,"a job I hate that makes $500,000"
she/her/hers,I know a few basic concepts.,Moderately,Somewhat,Attending live lectures remotely,8,3,e,1,85,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Not at all,Somewhat,Attending live lectures remotely,7,12,m,21,75,"a job I love that makes $100,000"
he/him/his,I know a few basic concepts.,Moderately,Somewhat,Attending live lectures remotely,1,1,a,1,0,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Not at all,Not at all,No preference,9,99,J,6,50,"a job I hate that makes $500,000"
she/her/hers,I know a few basic concepts.,Moderately,Moderately,Attending live lectures remotely,7,17,q,12,100,"a job I love that makes $100,000"
she/her/hers,No experience at all.,Not at all,Somewhat,Attending live lectures remotely,4,88,v,4,100,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Moderately,Moderately,No preference,4,76,v,22,100,"a job I hate that makes $500,000"
he/him/his,I have some experience.,Very,Moderately,No preference,1,1,d,18,20,"a job I love that makes $100,000"
she/her/hers,"Yes, I have a lot of experience.",Very,Moderately,Attending live lectures remotely,9,95,s,10,85,"a job I love that makes $100,000"
he/him/his,I have some experience.,Moderately,Moderately,Watching recordings of lectures,6,9,f,24,0,"a job I love that makes $100,000"
he/him/his,No experience at all.,Somewhat,Somewhat,Attending live lectures remotely,3,59,G,24,100,"a job I love that makes $100,000"
she/her/hers,No experience at all.,Not at all,Somewhat,Attending live lectures remotely,2,97,x,11,100,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Moderately,Moderately,Attending live lectures remotely,9,29,g,6,100,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Somewhat,Somewhat,Watching recordings of lectures,4,50,g,3,100,"a job I love that makes $100,000"
he/him/his,No experience at all.,Moderately,Somewhat,Attending live lectures remotely,3,13,w,2,69,"a job I love that makes $100,000"
he/him/his,I know a few basic concepts.,Somewhat,Somewhat,Attending live lectures remotely,7,17,y,3,45,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Not at all,Not at all,Attending live lectures remotely,8,69,o,24,100,"a job I love that makes $100,000"
he/him/his,No experience at all.,Somewhat,Moderately,No preference,5,2,z,6,10,"a job I love that makes $100,000"
he/him/his,I know a few basic concepts.,Moderately,Moderately,No preference,4,30,x,12,1,"a job I love that makes $100,000"
he/him/his,I know a few basic concepts.,Not at all,Somewhat,Watching recordings of lectures,6,24,l,24,0,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Somewhat,Somewhat,Watching recordings of lectures,4,77,g,23,40,"a job I love that makes $100,000"
she/her/hers,I have some experience.,Somewhat,Somewhat,Attending live lectures remotely,7,13,x,24,100,"a job I love that makes $100,000"
he/him/his,I have some experience.,Very,Moderately,Attending live lectures remotely,5,24,p,8,50,"a job I hate that makes $500,000"
she/her/hers,I know a few basic concepts.,Not at all,Somewhat,Attending live lectures remotely,2,50,v,22,100,"a job I love that makes $100,000"
he/him/his,"Yes, I have a lot of experience.",Moderately,Somewhat,No preference,4,78,X,11,75,"a job I hate that makes $500,000"
she/her/hers,I know a few basic concepts.,Moderately,Moderately,Watching recordings of lectures,7,11,k,5,90,"a job I love that makes $100,000"
he/him/his,I know a few basic concepts.,Somewhat,Somewhat,Attending live lectures remotely,2,29,c,5,45,"a job I love that makes $100,000"
she/her/hers,I have some experience.,Very,Moderately,Attending live lectures remotely,7,63,x,18,100,"a job I love that makes $100,000"
she/her/hers,I have some experience.,Moderately,Moderately,Attending live lectures remotely,7,73,j,6,99,"a job I hate that makes $500,000"
she/her/hers,I have some experience.,Moderately,Somewhat,Watching recordings of lectures,6,99,j,21,50,"a job I hate that makes $500,000"
he/him/his,I know a few basic concepts.,Not at all,Moderately,Watching recordings of lectures,9,33,L,21,100,"a job I love that makes $100,000"
she/her/hers,No experience at all.,Not at all,Somewhat,Watching recordings of lectures,4,27,o,24,85,"a job I love that makes $100,000"
she/her/hers,I have some experience.,Very,Very,Attending live lectures remotely,6,20,r,17,70,"a job I love that makes $100,000"
she/her/hers,I know a few basic concepts.,Somewhat,Moderately,No preference,3,5,a,1,90,"a job I hate that makes $500,000"